PlacementId,Date,Network,Order,Rule,GlobalChain,GlobalType,GlobalImpressions,GlobalServed,GlobalIncome,GlobalFill,GlobalEcpm,GlobalRcpm,ExperimentChain,ExperimentType,ExperimentImpressions,ExperimentServed,ExperimentIncome,ExperimentFill,ExperimentEcpm,ExperimentRcpm
cbfd0f7b2f0c9a88093862f041c72407,2015-10-07,OpenX,0,device=mobile,e25=0.8:e20=0.6,Learning,274,8,0.0107,0.02919708,1.3375,0.0390511,e15=0.8:e34=0.6,LearningExperiment,1171,29,0.0281,0.02476516,0.9689655,0.02399658
cbfd0f7b2f0c9a88093862f041c72407,2015-10-07,OpenX,1,device=mobile,e25=0.8:e20=0.6,Learning,1174,16,0.0125,0.01362862,0.78125,0.01064736,e15=0.8:e34=0.6,LearningExperiment,11345,503,0.4081,0.04433671,0.811332,0.03597179
cbfd0f7b2f0c9a88093862f041c72407,2015-10-07,Aol,0,device=mobile; geo_country=us; geo_country=ca; geo_country=gb; geo_country=it; geo_country=fr; geo_country=es; geo_country=nl; geo_country=se; geo_country=pl; geo_country=de; geo_country=au; geo_country=jp; geo_country=in; geo_country=br; geo_country=mx,o3=0.8:o21=0.6,Learning,942,28,0.0229,0.02972399,0.8178571,0.02430998,o1=0.8:o15=0.6,LearningExperiment,0,0,0,0,0,0
cbfd0f7b2f0c9a88093862f041c72407,2015-10-07,Aol,1,device=mobile; geo_country=us; geo_country=ca; geo_country=gb; geo_country=it; geo_country=fr; geo_country=es; geo_country=nl; geo_country=se; geo_country=pl; geo_country=de; geo_country=au; geo_country=jp; geo_country=in; geo_country=br; geo_country=mx,o3=0.8:o21=0.6,Learning,174,6,0,0.03448276,0,0,o1=0.8:o15=0.6,LearningExperiment,627,11,0.0086,0.01754386,0.7818182,0.01371611
cbfd0f7b2f0c9a88093862f041c72407,2015-10-07,Aol,0,device=mobile; geo_country=us; geo_country=ca; geo_country=gb; geo_country=it; geo_country=fr; geo_country=es; geo_country=nl; geo_country=se; geo_country=pl; geo_country=de; geo_country=au; geo_country=jp; geo_country=in; geo_country=br; geo_country=mx,o8=1.4,Learning,1009,26,0.0315,0.02576809,1.211538,0.03121903,o16=1.4,LearningExperiment,551,7,0.0086,0.01270417,1.228571,0.01560799
cbfd0f7b2f0c9a88093862f041c72407,2015-10-07,OpenX,0,device=mobile,e19=1.4,Learning,1447,23,0.042,0.01589496,1.826087,0.02902557,e30=1.4,LearningExperiment,143,0,0,0,0,0
cbfd0f7b2f0c9a88093862f041c72407,2015-10-07,OpenX,0,device=mobile,e5=0.2,Learning,1474,280,0.0739,0.1899593,0.2639286,0.05013568,e3=0.2,LearningExperiment,137,5,0.0013,0.03649635,0.26,0.009489051
cbfd0f7b2f0c9a88093862f041c72407,2015-10-07,Aol,0,device=mobile; geo_country=us; geo_country=ca; geo_country=gb; geo_country=it; geo_country=fr; geo_country=es; geo_country=nl; geo_country=se; geo_country=pl; geo_country=de; geo_country=au; geo_country=jp; geo_country=in; geo_country=br; geo_country=mx,o2=0.2,Learning,668,93,0.0179,0.1392216,0.1924731,0.02679641,o7=0.2,LearningExperiment,708,81,0.0154,0.1144068,0.1901235,0.02175141
cbfd0f7b2f0c9a88093862f041c72407,2015-10-07,OpenX,0,device=mobile,e10=0.55:p46=0.45:p40=0.45:e18=0.40,BestChain,835671,35588,26.3453,0.04258614,0.7402861,0.03152592,e35=0.55:p21=0.45:p19=0.45:e28=0.4:e36=0.4,ExperimentClone,1277,26,0.0165,0.02036022,0.6346154,0.01292091
cbfd0f7b2f0c9a88093862f041c72407,2015-10-07,Pubmatic,1,device=mobile,e10=0.55:p46=0.45:p40=0.45:e18=0.40,BestChain,680069,24822,11.673,0.03649924,0.4702683,0.01716444,e35=0.55:p21=0.45:p19=0.45:e28=0.4:e36=0.4,ExperimentClone,1062,58,0.027,0.05461394,0.4655173,0.02542373
cbfd0f7b2f0c9a88093862f041c72407,2015-10-07,Pubmatic,2,device=mobile,e10=0.55:p46=0.45:p40=0.45:e18=0.40,BestChain,556960,6500,2.889,0.0116705,0.4444615,0.005187087,e35=0.55:p21=0.45:p19=0.45:e28=0.4:e36=0.4,ExperimentClone,5444,279,0.126,0.05124908,0.4516129,0.02314475
cbfd0f7b2f0c9a88093862f041c72407,2015-10-07,OpenX,3,device=mobile,e10=0.55:p46=0.45:p40=0.45:e18=0.40,BestChain,598484,14017,6.844,0.02342084,0.4882642,0.01143556,e35=0.55:p21=0.45:p19=0.45:e28=0.4:e36=0.4,ExperimentClone,1495,42,0.0179,0.02809365,0.4261905,0.01197324
cbfd0f7b2f0c9a88093862f041c72407,2015-10-08,OpenX,0,device=mobile,e25=0.8:e20=0.6,Learning,247,2,0.002,0.008097166,1,0.008097166,e15=0.8:e34=0.6,LearningExperiment,1184,44,0.0425,0.03716216,0.9659091,0.03589527
cbfd0f7b2f0c9a88093862f041c72407,2015-10-08,OpenX,1,device=mobile,e25=0.8:e20=0.6,Learning,1179,21,0.0166,0.0178117,0.7904762,0.01407973,e15=0.8:e34=0.6,LearningExperiment,10828,467,0.3896,0.04312893,0.8342612,0.03598079
cbfd0f7b2f0c9a88093862f041c72407,2015-10-08,Aol,0,device=mobile; geo_country=us; geo_country=ca; geo_country=gb; geo_country=it; geo_country=fr; geo_country=es; geo_country=nl; geo_country=se; geo_country=pl; geo_country=de; geo_country=au; geo_country=jp; geo_country=in; geo_country=br; geo_country=mx,o3=0.8:o21=0.6,Learning,861,34,0.031,0.03948897,0.9117647,0.03600464,o1=0.8:o15=0.6,LearningExperiment,0,0,0,0,0,0
cbfd0f7b2f0c9a88093862f041c72407,2015-10-08,Aol,1,device=mobile; geo_country=us; geo_country=ca; geo_country=gb; geo_country=it; geo_country=fr; geo_country=es; geo_country=nl; geo_country=se; geo_country=pl; geo_country=de; geo_country=au; geo_country=jp; geo_country=in; geo_country=br; geo_country=mx,o3=0.8:o21=0.6,Learning,143,2,0,0.01398601,0,0,o1=0.8:o15=0.6,LearningExperiment,585,14,0.0086,0.02393162,0.6142857,0.01470086
cbfd0f7b2f0c9a88093862f041c72407,2015-10-08,Aol,0,device=mobile; geo_country=us; geo_country=ca; geo_country=gb; geo_country=it; geo_country=fr; geo_country=es; geo_country=nl; geo_country=se; geo_country=pl; geo_country=de; geo_country=au; geo_country=jp; geo_country=in; geo_country=br; geo_country=mx,o8=1.4,Learning,939,8,0.0097,0.008519702,1.2125,0.01033014,o16=1.4,LearningExperiment,522,13,0.0172,0.02490421,1.323077,0.03295019
cbfd0f7b2f0c9a88093862f041c72407,2015-10-08,OpenX,0,device=mobile,e19=1.4,Learning,1411,16,0.0255,0.01133948,1.59375,0.01807229,e30=1.4,LearningExperiment,139,0,0,0,0,0
cbfd0f7b2f0c9a88093862f041c72407,2015-10-08,OpenX,0,device=mobile,e5=0.2,Learning,1443,293,0.0783,0.2030492,0.2672355,0.05426195,e3=0.2,LearningExperiment,93,5,0.001,0.05376344,0.2,0.01075269
cbfd0f7b2f0c9a88093862f041c72407,2015-10-08,Aol,0,device=mobile; geo_country=us; geo_country=ca; geo_country=gb; geo_country=it; geo_country=fr; geo_country=es; geo_country=nl; geo_country=se; geo_country=pl; geo_country=de; geo_country=au; geo_country=jp; geo_country=in; geo_country=br; geo_country=mx,o2=0.2,Learning,661,59,0.0133,0.0892587,0.2254237,0.02012103,o7=0.2,LearningExperiment,717,78,0.0164,0.1087866,0.2102564,0.02287308
