PlacementId,Date,Network,Order,GlobalChain,GlobalType,GlobalImpressions,GlobalServed,GlobalIncome,GlobalFill,GlobalEcpm,GlobalRcpm,ExperimentChain,ExperimentType,ExperimentImpressions,ExperimentServed,ExperimentIncome,ExperimentFill,ExperimentEcpm,ExperimentRcpm
ad3f290182679590a3d68705b9d324a2,2015-07-09,Aol,3,o28=0.05:p19=0.05:t14=0.05:o27=0.05:o26=0.05,BestChain,146742,11172,0.731,0.07613362,0.06543144,0.004981532,o11=0.05:p23=0.05:t18=0.05:o24=0.05,ExperimentClone,3711,361,0.0258,0.09727836,0.07146814,0.006952304
ad3f290182679590a3d68705b9d324a2,2015-06-13,PulsePoint,0,t9=0.45:t8=0.25,Learning,2460,427,0.2,0.1735772,0.4683841,0.08130082,t1=0.45:t7=0.25,LearningExperiment,1586,222,0.1,0.1399748,0.4504505,0.0630517
ad3f290182679590a3d68705b9d324a2,2015-06-13,PulsePoint,1,t9=0.45:t8=0.25,Learning,1945,55,0.01,0.02827764,0.1818182,0.005141388,t1=0.45:t7=0.25,LearningExperiment,1328,48,0.01,0.03614458,0.2083333,0.00753012
ad3f290182679590a3d68705b9d324a2,2015-06-13,Pubmatic,0,p6=0.45:p2=0.25,Learning,2949,422,0.369,0.1430994,0.8744075,0.1251272,p13=0.45:p26=0.25,LearningExperiment,1597,198,0.144,0.1239825,0.7272727,0.09016906
ad3f290182679590a3d68705b9d324a2,2015-06-13,Pubmatic,1,p6=0.45:p2=0.25,Learning,2247,190,0.081,0.08455719,0.4263158,0.03604807,p13=0.45:p26=0.25,LearningExperiment,1238,77,0.027,0.06219709,0.3506494,0.02180937
ad3f290182679590a3d68705b9d324a2,2015-06-13,PulsePoint,0,t5=1.05,Learning,2836,250,0.27,0.08815233,1.08,0.09520452,t19=1.05,LearningExperiment,1385,61,0.06,0.04404332,0.9836065,0.0433213
ad3f290182679590a3d68705b9d324a2,2015-06-13,Pubmatic,0,p5=1.05,Learning,3230,284,0.387,0.08792569,1.362676,0.1198142,p18=1.05,LearningExperiment,1279,83,0.108,0.06489445,1.301205,0.08444097
ad3f290182679590a3d68705b9d324a2,2015-06-13,PulsePoint,0,t3=0.01,Learning,2265,441,0,0.194702,0,0,t15=0.01,LearningExperiment,1373,202,0,0.1471231,0,0
ad3f290182679590a3d68705b9d324a2,2015-06-13,Pubmatic,0,p16=0.01,Learning,2764,1873,0.45,0.6776411,0.2402563,0.1628075,p4=0.01,LearningExperiment,1270,961,0.189,0.7566929,0.1966701,0.1488189
ad3f290182679590a3d68705b9d324a2,2015-06-13,Aol,0,o28=0.05:p19=0.05:t14=0.05:o27=0.05:o26=0.05,BestChain,2275672,1144985,312.5842,0.5031415,0.2730029,0.1373591,o11=0.05:p23=0.05:t18=0.05:o24=0.05,ExperimentClone,12486,7568,1.7114,0.6061189,0.2261364,0.1370655
ad3f290182679590a3d68705b9d324a2,2015-06-13,Pubmatic,1,o28=0.05:p19=0.05:t14=0.05:o27=0.05:o26=0.05,BestChain,1010557,240299,29.592,0.2377887,0.1231466,0.02928286,o11=0.05:p23=0.05:t18=0.05:o24=0.05,ExperimentClone,4405,1589,0.153,0.3607264,0.09628697,0.03473326
ad3f290182679590a3d68705b9d324a2,2015-06-13,PulsePoint,2,o28=0.05:p19=0.05:t14=0.05:o27=0.05:o26=0.05,BestChain,717800,29578,1.48,0.04120646,0.05003719,0.002061856,o11=0.05:p23=0.05:t18=0.05:o24=0.05,ExperimentClone,2681,25,0,0.009324878,0,0
ad3f290182679590a3d68705b9d324a2,2015-06-13,Aol,3,o28=0.05:p19=0.05:t14=0.05:o27=0.05:o26=0.05,BestChain,663158,47839,2.967,0.07213816,0.06202053,0.004474047,o11=0.05:p23=0.05:t18=0.05:o24=0.05,ExperimentClone,2553,349,0.0258,0.1367019,0.0739255,0.01010576
ad3f290182679590a3d68705b9d324a2,2015-07-01,Aol,0,o22=0.45:o23=0.25,Learning,2494,300,0.1634,0.1202887,0.5446666,0.06551724,o4=0.45:o6=0.25,LearningExperiment,1678,171,0.086,0.101907,0.502924,0.05125149
ad3f290182679590a3d68705b9d324a2,2015-07-01,Aol,1,o22=0.45:o23=0.25,Learning,2112,341,0.0774,0.1614583,0.2269795,0.03664773,o4=0.45:o6=0.25,LearningExperiment,1444,166,0.0344,0.1149585,0.2072289,0.02382272
ad3f290182679590a3d68705b9d324a2,2015-07-01,Pubmatic,0,p6=0.45:p2=0.25,Learning,2635,277,0.207,0.1051233,0.7472924,0.07855788,p13=0.45:p26=0.25,LearningExperiment,1678,167,0.126,0.09952324,0.754491,0.0750894
ad3f290182679590a3d68705b9d324a2,2015-07-01,Pubmatic,1,p6=0.45:p2=0.25,Learning,2302,255,0.09,0.1107732,0.3529412,0.03909644,p13=0.45:p26=0.25,LearningExperiment,1383,126,0.045,0.09110629,0.3571429,0.03253796
ad3f290182679590a3d68705b9d324a2,2015-07-01,Pubmatic,0,p5=1.05,Learning,2386,137,0.171,0.05741827,1.248175,0.07166807,p18=1.05,LearningExperiment,1630,93,0.117,0.05705522,1.258065,0.07177914
ad3f290182679590a3d68705b9d324a2,2015-07-01,Aol,0,o2=0.01,Learning,2856,1882,0.2322,0.6589636,0.1233794,0.08130252,o32=0.01,LearningExperiment,1888,1420,0.129,0.7521186,0.09084506,0.06832626
ad3f290182679590a3d68705b9d324a2,2015-07-01,Aol,0,o21=1.05,Learning,2514,142,0.1462,0.05648369,1.029577,0.05815434,o3=1.05,LearningExperiment,1719,85,0.086,0.04944735,1.011765,0.05002909
ad3f290182679590a3d68705b9d324a2,2015-07-01,Pubmatic,0,p16=0.01,Learning,2598,2038,0.315,0.7844496,0.1545633,0.1212471,p4=0.01,LearningExperiment,1512,1221,0.171,0.8075397,0.1400491,0.1130952
ad3f290182679590a3d68705b9d324a2,2015-07-01,Aol,0,o28=0.05:p19=0.05:t14=0.05:o27=0.05:o26=0.05,BestChain,918518,525815,73.7794,0.5724602,0.1403144,0.0803244,o11=0.05:p23=0.05:t18=0.05:o24=0.05,ExperimentClone,17067,11588,1.1954,0.6789711,0.1031584,0.0700416
