chain_clean	e	o	p	t	v	w	z	DiscrepancyPercent
pt	0	0	1	1	0	0	0	0.31621
pt	0	0	1	1	0	0	0	0.10799
ppp	0	0	3	0	0	0	0	0.28784
p	0	0	1	0	0	0	0	0.30419
p	0	0	1	0	0	0	0	0.25253
pp	0	0	2	0	0	0	0	0.27225
p	0	0	1	0	0	0	0	0.25307
pp	0	0	2	0	0	0	0	0.2545
p	0	0	1	0	0	0	0	0.25329
tptt	0	0	1	3	0	0	0	0.34667
t	0	0	0	1	0	0	0	0.26464
t	0	0	0	1	0	0	0	0.25913
t	0	0	0	1	0	0	0	0.26333
tt	0	0	0	2	0	0	0	0.30205
tt	0	0	0	2	0	0	0	0.29669
pt	0	0	1	1	0	0	0	0.3426
pt	0	0	1	1	0	0	0	0.09682
ppp	0	0	3	0	0	0	0	0.30448
p	0	0	1	0	0	0	0	0.26954
p	0	0	1	0	0	0	0	0.2983
pp	0	0	2	0	0	0	0	0.33929
p	0	0	1	0	0	0	0	0.28637
pp	0	0	2	0	0	0	0	0.33254
p	0	0	1	0	0	0	0	0.3047
tptt	0	0	1	3	0	0	0	0.36666
t	0	0	0	1	0	0	0	0.25878
t	0	0	0	1	0	0	0	0.30598
t	0	0	0	1	0	0	0	0.27503
tt	0	0	0	2	0	0	0	0.33319
tt	0	0	0	2	0	0	0	0.32584
pt	0	0	1	1	0	0	0	0.30416
pt	0	0	1	1	0	0	0	0.11802
ppp	0	0	3	0	0	0	0	0.29813
p	0	0	1	0	0	0	0	0.27471
p	0	0	1	0	0	0	0	0.26967
pp	0	0	2	0	0	0	0	0.27313
p	0	0	1	0	0	0	0	0.22991
pp	0	0	2	0	0	0	0	0.26775
p	0	0	1	0	0	0	0	0.26298
tptt	0	0	1	3	0	0	0	0.35566
t	0	0	0	1	0	0	0	0.24777
t	0	0	0	1	0	0	0	0.26187
t	0	0	0	1	0	0	0	0.26641
tt	0	0	0	2	0	0	0	0.31322
tt	0	0	0	2	0	0	0	0.31183
pt	0	0	1	1	0	0	0	0.16042
ppp	0	0	3	0	0	0	0	0.48011
tptt	0	0	1	3	0	0	0	0.54189
pt	0	0	1	1	0	0	0	0.14871
pttt	0	0	1	3	0	0	0	0.30503
pt	0	0	1	1	0	0	0	0.1849
ttpt	0	0	1	3	0	0	0	0.38417
pttt	0	0	1	3	0	0	0	0.26081
pt	0	0	1	1	0	0	0	0.08853
ppp	0	0	3	0	0	0	0	0.12361
ttpt	0	0	1	3	0	0	0	0.31912
pt	0	0	1	1	0	0	0	0.23381
pttt	0	0	1	3	0	0	0	0.23187
pt	0	0	1	1	0	0	0	0.14175
ppp	0	0	3	0	0	0	0	0.23194
ttpt	0	0	1	3	0	0	0	0.28915
tptt	0	0	1	3	0	0	0	0.29909
t	0	0	0	1	0	0	0	0.14339
t	0	0	0	1	0	0	0	0.15595
pttt	0	0	1	3	0	0	0	0.20164
pt	0	0	1	1	0	0	0	-0.11195
ppp	0	0	3	0	0	0	0	0.25344
ttpt	0	0	1	3	0	0	0	0.28915
tptt	0	0	1	3	0	0	0	0.35104
pt	0	0	1	1	0	0	0	0.37976
pt	0	0	1	1	0	0	0	0.06181
p	0	0	1	0	0	0	0	0.28583
p	0	0	1	0	0	0	0	0.32391
pp	0	0	2	0	0	0	0	0.34052
p	0	0	1	0	0	0	0	0.33693
pp	0	0	2	0	0	0	0	0.30681
p	0	0	1	0	0	0	0	0.33598
ttpt	0	0	1	3	0	0	0	0.45331
tptt	0	0	1	3	0	0	0	0.42142
t	0	0	0	1	0	0	0	0.3037
t	0	0	0	1	0	0	0	0.3218
tt	0	0	0	2	0	0	0	0.37085
pt	0	0	1	1	0	0	0	0.21444
tptt	0	0	1	3	0	0	0	0.45358
pt	0	0	1	1	0	0	0	0.05018
tptt	0	0	1	3	0	0	0	0.5395
pt	0	0	1	1	0	0	0	0.29164
pt	0	0	1	1	0	0	0	0.08149
p	0	0	1	0	0	0	0	0.18312
p	0	0	1	0	0	0	0	0.23916
pp	0	0	2	0	0	0	0	0.24304
p	0	0	1	0	0	0	0	0.23013
pp	0	0	2	0	0	0	0	0.2567
p	0	0	1	0	0	0	0	0.25943
ttpt	0	0	1	3	0	0	0	0.40888
tptt	0	0	1	3	0	0	0	0.36257
t	0	0	0	1	0	0	0	0.25745
t	0	0	0	1	0	0	0	0.24531
tt	0	0	0	2	0	0	0	0.29657
tt	0	0	0	2	0	0	0	0.29592
pt	0	0	1	1	0	0	0	0.08
pt	0	0	1	1	0	0	0	0.12171
p	0	0	1	0	0	0	0	0.22797
p	0	0	1	0	0	0	0	0.04842
pp	0	0	2	0	0	0	0	0.07056
p	0	0	1	0	0	0	0	0.04586
pp	0	0	2	0	0	0	0	0.06109
ttpt	0	0	1	3	0	0	0	0.24905
tptt	0	0	1	3	0	0	0	0.28993
t	0	0	0	1	0	0	0	0.09317
t	0	0	0	1	0	0	0	0.09834
t	0	0	0	1	0	0	0	0.09587
tt	0	0	0	2	0	0	0	0.1676
tt	0	0	0	2	0	0	0	0.17032
t	0	0	0	1	0	0	0	0.09505
pt	0	0	1	1	0	0	0	0.10728
pt	0	0	1	1	0	0	0	0.10688
pppt	0	0	3	1	0	0	0	0.13691
pt	0	0	1	1	0	0	0	0.09134
ttpt	0	0	1	3	0	0	0	0.17654
tptt	0	0	1	3	0	0	0	0.17666
tttp	0	0	1	3	0	0	0	0.17682
tpp	0	0	2	1	0	0	0	0.12348
tt	0	0	0	2	0	0	0	0.11188
pt	0	0	1	1	0	0	0	0.12444
pt	0	0	1	1	0	0	0	0.11431
pppt	0	0	3	1	0	0	0	0.1614
pt	0	0	1	1	0	0	0	0.10281
p	0	0	1	0	0	0	0	0.07943
p	0	0	1	0	0	0	0	0.05663
pp	0	0	2	0	0	0	0	0.0904
p	0	0	1	0	0	0	0	0.05597
pp	0	0	2	0	0	0	0	0.09535
ttpt	0	0	1	3	0	0	0	0.18221
tptt	0	0	1	3	0	0	0	0.17474
tttp	0	0	1	3	0	0	0	0.17918
tpp	0	0	2	1	0	0	0	0.1451
t	0	0	0	1	0	0	0	0.08256
t	0	0	0	1	0	0	0	0.05189
tt	0	0	0	2	0	0	0	0.10175
tt	0	0	0	2	0	0	0	0.10186
t	0	0	0	1	0	0	0	0.06272
pt	0	0	1	1	0	0	0	0.12738
pt	0	0	1	1	0	0	0	0.11428
pppt	0	0	3	1	0	0	0	0.17311
pt	0	0	1	1	0	0	0	0.10281
p	0	0	1	0	0	0	0	-0.00135
p	0	0	1	0	0	0	0	0.05063
pp	0	0	2	0	0	0	0	0.072
p	0	0	1	0	0	0	0	0.06619
pp	0	0	2	0	0	0	0	0.07198
p	0	0	1	0	0	0	0	0.05116
ttpt	0	0	1	3	0	0	0	0.20413
tptt	0	0	1	3	0	0	0	0.18902
tttp	0	0	1	3	0	0	0	0.19678
tpp	0	0	2	1	0	0	0	0.14783
t	0	0	0	1	0	0	0	0.06786
t	0	0	0	1	0	0	0	0.06154
t	0	0	0	1	0	0	0	0.06538
tt	0	0	0	2	0	0	0	0.10979
tt	0	0	0	2	0	0	0	0.11068
t	0	0	0	1	0	0	0	0.0566
pt	0	0	1	1	0	0	0	0.1362
pt	0	0	1	1	0	0	0	0.13705
pppt	0	0	3	1	0	0	0	0.19862
pt	0	0	1	1	0	0	0	0.12297
ttpt	0	0	1	3	0	0	0	0.23579
tptt	0	0	1	3	0	0	0	0.23117
tttp	0	0	1	3	0	0	0	0.22858
tpp	0	0	2	1	0	0	0	0.1846
pt	0	0	1	1	0	0	0	0.07113
pt	0	0	1	1	0	0	0	0.11575
pppt	0	0	3	1	0	0	0	-0.10675
pt	0	0	1	1	0	0	0	0.07274
tptt	0	0	1	3	0	0	0	0.1947
tpp	0	0	2	1	0	0	0	-0.0192
pt	0	0	1	1	0	0	0	0.08251
pppt	0	0	3	1	0	0	0	0.20856
pt	0	0	1	1	0	0	0	0.14123
tptt	0	0	1	3	0	0	0	0.22348
tpp	0	0	2	1	0	0	0	0.163
pt	0	0	1	1	0	0	0	0.09798
pppt	0	0	3	1	0	0	0	0.15195
pt	0	0	1	1	0	0	0	0.10637
tptt	0	0	1	3	0	0	0	0.24165
tpp	0	0	2	1	0	0	0	0.14466
pt	0	0	1	1	0	0	0	0.13199
pppt	0	0	3	1	0	0	0	-0.06038
pt	0	0	1	1	0	0	0	0.14338
tptt	0	0	1	3	0	0	0	0.16732
tttp	0	0	1	3	0	0	0	0.15954
tpp	0	0	2	1	0	0	0	0.11198
pt	0	0	1	1	0	0	0	0.04842
pppt	0	0	3	1	0	0	0	0.16129
pt	0	0	1	1	0	0	0	0.08128
tptt	0	0	1	3	0	0	0	0.13799
tttp	0	0	1	3	0	0	0	0.13326
tpp	0	0	2	1	0	0	0	0.14361
pt	0	0	1	1	0	0	0	0.15209
pppt	0	0	3	1	0	0	0	0.17096
pt	0	0	1	1	0	0	0	0.17391
tptt	0	0	1	3	0	0	0	0.20662
tttp	0	0	1	3	0	0	0	0.20299
tpp	0	0	2	1	0	0	0	0.17631
pt	0	0	1	1	0	0	0	0.00048
pppt	0	0	3	1	0	0	0	-0.11773
tpp	0	0	2	1	0	0	0	-0.08281
pt	0	0	1	1	0	0	0	0.13415
pppt	0	0	3	1	0	0	0	0.16413
pt	0	0	1	1	0	0	0	0.17563
tptt	0	0	1	3	0	0	0	0.17184
tttp	0	0	1	3	0	0	0	0.17061
tpp	0	0	2	1	0	0	0	0.15779
pt	0	0	1	1	0	0	0	0.10182
pt	0	0	1	1	0	0	0	0.10994
pppt	0	0	3	1	0	0	0	0.11757
pt	0	0	1	1	0	0	0	0.10152
tptt	0	0	1	3	0	0	0	0.15228
tttp	0	0	1	3	0	0	0	0.14899
tpp	0	0	2	1	0	0	0	0.11581
pt	0	0	1	1	0	0	0	0.12476
pt	0	0	1	1	0	0	0	0.13451
pppt	0	0	3	1	0	0	0	0.14248
pt	0	0	1	1	0	0	0	0.1217
tpp	0	0	2	1	0	0	0	0.13379
pt	0	0	1	1	0	0	0	0.11998
ptt	0	0	1	2	0	0	0	0.14531
pt	0	0	1	1	0	0	0	0.12659
pppt	0	0	3	1	0	0	0	0.14058
pt	0	0	1	1	0	0	0	0.1189
tpp	0	0	2	1	0	0	0	0.12666
t	0	0	0	1	0	0	0	0.06585
tt	0	0	0	2	0	0	0	0.09533
t	0	0	0	1	0	0	0	0.06544
eppe	2	0	2	0	0	0	0	0.09126
eeeee	5	0	0	0	0	0	0	0.2763
eepe	3	0	1	0	0	0	0	0.14143
etee	3	0	0	1	0	0	0	0.08752
eet	2	0	0	1	0	0	0	0.19212
ppeee	3	0	2	0	0	0	0	0.13851
peee	3	0	1	0	0	0	0	0.01208
petp	1	0	2	1	0	0	0	0.06839
pepe	2	0	2	0	0	0	0	0.15276
pp	0	0	2	0	0	0	0	0.02169
eppe	2	0	2	0	0	0	0	0.12908
eeeee	5	0	0	0	0	0	0	0.26274
eepe	3	0	1	0	0	0	0	0.16173
etee	3	0	0	1	0	0	0	0.13674
eet	2	0	0	1	0	0	0	0.09176
ppeee	3	0	2	0	0	0	0	0.16437
petp	1	0	2	1	0	0	0	0.08123
pepe	2	0	2	0	0	0	0	0.14094
eppe	2	0	2	0	0	0	0	0.00883
eeeee	5	0	0	0	0	0	0	0.12105
eepe	3	0	1	0	0	0	0	0.0434
etee	3	0	0	1	0	0	0	0.01362
eet	2	0	0	1	0	0	0	-0.02959
ppeee	3	0	2	0	0	0	0	0.10643
petp	1	0	2	1	0	0	0	0.03595
pepe	2	0	2	0	0	0	0	0.07852
eppe	2	0	2	0	0	0	0	0.09386
eeeee	5	0	0	0	0	0	0	0.24484
eepe	3	0	1	0	0	0	0	0.10061
etee	3	0	0	1	0	0	0	0.13308
eet	2	0	0	1	0	0	0	0.01495
ppeee	3	0	2	0	0	0	0	0.14032
peee	3	0	1	0	0	0	0	0.30282
pepe	2	0	2	0	0	0	0	0.03133
eppe	2	0	2	0	0	0	0	0.20165
eeeee	5	0	0	0	0	0	0	0.17209
eepe	3	0	1	0	0	0	0	0.30242
etee	3	0	0	1	0	0	0	0.1931
eet	2	0	0	1	0	0	0	0.16645
ppeee	3	0	2	0	0	0	0	0.1724
peee	3	0	1	0	0	0	0	0.2292
ee	2	0	0	0	0	0	0	0.21345
e	1	0	0	0	0	0	0	0.09776
eppe	2	0	2	0	0	0	0	0.19399
eeeee	5	0	0	0	0	0	0	0.3448
eepe	3	0	1	0	0	0	0	0.26039
etee	3	0	0	1	0	0	0	0.21029
eet	2	0	0	1	0	0	0	0.21678
e	1	0	0	0	0	0	0	0.11127
e	1	0	0	0	0	0	0	0.08258
ee	2	0	0	0	0	0	0	0.20406
e	1	0	0	0	0	0	0	0.09649
p	0	0	1	0	0	0	0	0.05136
ppeee	3	0	2	0	0	0	0	0.21632
peee	3	0	1	0	0	0	0	0.24342
petp	1	0	2	1	0	0	0	0.12871
p	0	0	1	0	0	0	0	0.05684
p	0	0	1	0	0	0	0	0.05192
pp	0	0	2	0	0	0	0	0.07021
p	0	0	1	0	0	0	0	0.05637
pp	0	0	2	0	0	0	0	0.06182
t	0	0	0	1	0	0	0	0.06046
t	0	0	0	1	0	0	0	0.05035
tt	0	0	0	2	0	0	0	0.06365
t	0	0	0	1	0	0	0	0.0498
tt	0	0	0	2	0	0	0	0.06336
t	0	0	0	1	0	0	0	0.05315
eppe	2	0	2	0	0	0	0	0.06646
eeeee	5	0	0	0	0	0	0	0.16559
eepe	3	0	1	0	0	0	0	0.11867
etee	3	0	0	1	0	0	0	0.04412
eet	2	0	0	1	0	0	0	0.05264
ppeee	3	0	2	0	0	0	0	0.14828
peee	3	0	1	0	0	0	0	-0.02308
petp	1	0	2	1	0	0	0	0.03806
pepe	2	0	2	0	0	0	0	0.18675
p	0	0	1	0	0	0	0	0.0604
eppe	2	0	2	0	0	0	0	0.13362
eeeee	5	0	0	0	0	0	0	0.19841
eepe	3	0	1	0	0	0	0	0.16341
etee	3	0	0	1	0	0	0	0.11088
eet	2	0	0	1	0	0	0	0.1173
ppeee	3	0	2	0	0	0	0	0.20934
pepe	2	0	2	0	0	0	0	0.17319
eppe	2	0	2	0	0	0	0	0.07643
eeeee	5	0	0	0	0	0	0	0.16219
etp	1	0	1	1	0	0	0	0.01856
eep	2	0	1	0	0	0	0	0.09621
eepe	3	0	1	0	0	0	0	0.116
etee	3	0	0	1	0	0	0	0.07201
eet	2	0	0	1	0	0	0	0.05799
epte	2	0	1	1	0	0	0	0.07953
eetp	2	0	1	1	0	0	0	0.06772
ppeee	3	0	2	0	0	0	0	0.15231
pepe	2	0	2	0	0	0	0	0.1055
teppe	2	0	2	1	0	0	0	0.07893
eppe	2	0	2	0	0	0	0	0.15815
eeeee	5	0	0	0	0	0	0	0.27229
etp	1	0	1	1	0	0	0	0.10688
eep	2	0	1	0	0	0	0	0.18085
eepe	3	0	1	0	0	0	0	0.21761
etee	3	0	0	1	0	0	0	0.17816
eet	2	0	0	1	0	0	0	0.16591
epte	2	0	1	1	0	0	0	0.12459
eetp	2	0	1	1	0	0	0	0.18123
ppeee	3	0	2	0	0	0	0	0.15069
pepe	2	0	2	0	0	0	0	0.12922
teppe	2	0	2	1	0	0	0	0.12046
eppe	2	0	2	0	0	0	0	0.06214
eeeee	5	0	0	0	0	0	0	0.13193
etp	1	0	1	1	0	0	0	-0.00235
eep	2	0	1	0	0	0	0	0.08196
eepe	3	0	1	0	0	0	0	0.09665
etee	3	0	0	1	0	0	0	0.04846
eet	2	0	0	1	0	0	0	0.03872
epte	2	0	1	1	0	0	0	0.08163
eetp	2	0	1	1	0	0	0	0.06925
ppeee	3	0	2	0	0	0	0	0.1293
pepe	2	0	2	0	0	0	0	0.09676
teppe	2	0	2	1	0	0	0	0.04436
eppe	2	0	2	0	0	0	0	0.09197
eeeee	5	0	0	0	0	0	0	0.11758
etp	1	0	1	1	0	0	0	-0.09072
eep	2	0	1	0	0	0	0	-0.05021
eepe	3	0	1	0	0	0	0	0.14499
etee	3	0	0	1	0	0	0	0.0499
eet	2	0	0	1	0	0	0	0.04498
eetp	2	0	1	1	0	0	0	-0.10789
ppeee	3	0	2	0	0	0	0	0.15017
pepe	2	0	2	0	0	0	0	0.11043
teppe	2	0	2	1	0	0	0	0.04579
eppe	2	0	2	0	0	0	0	0.16452
eeeee	5	0	0	0	0	0	0	0.30854
eepe	3	0	1	0	0	0	0	0.23659
etee	3	0	0	1	0	0	0	0.21857
eet	2	0	0	1	0	0	0	0.19145
epte	2	0	1	1	0	0	0	0.13889
ppeee	3	0	2	0	0	0	0	0.14495
pepe	2	0	2	0	0	0	0	0.12186
e	1	0	0	0	0	0	0	0.05948
eppe	2	0	2	0	0	0	0	-0.06893
eeeee	5	0	0	0	0	0	0	0.237
etp	1	0	1	1	0	0	0	0.08885
eep	2	0	1	0	0	0	0	0.16122
eepe	3	0	1	0	0	0	0	0.19201
etee	3	0	0	1	0	0	0	0.11686
eet	2	0	0	1	0	0	0	0.09454
epte	2	0	1	1	0	0	0	0.1123
eetp	2	0	1	1	0	0	0	0.17684
e	1	0	0	0	0	0	0	0.02771
e	1	0	0	0	0	0	0	0.05816
ee	2	0	0	0	0	0	0	0.14869
p	0	0	1	0	0	0	0	0.05113
ppeee	3	0	2	0	0	0	0	0.10958
pepe	2	0	2	0	0	0	0	0.06683
p	0	0	1	0	0	0	0	0.03827
p	0	0	1	0	0	0	0	0.03473
teppe	2	0	2	1	0	0	0	0.17014
t	0	0	0	1	0	0	0	0.03508
tt	0	0	0	2	0	0	0	0.03502
t	0	0	0	1	0	0	0	0.03873
eeeee	5	0	0	0	0	0	0	0.14938
etp	1	0	1	1	0	0	0	0.02797
eep	2	0	1	0	0	0	0	0.1
eepe	3	0	1	0	0	0	0	0.13617
etee	3	0	0	1	0	0	0	0.03548
eet	2	0	0	1	0	0	0	0.05469
epte	2	0	1	1	0	0	0	0.09237
eetp	2	0	1	1	0	0	0	0.13867
teppe	2	0	2	1	0	0	0	0.06179
eeeee	5	0	0	0	0	0	0	0.0413
eepe	3	0	1	0	0	0	0	0.03271
etee	3	0	0	1	0	0	0	-0.05114
teppe	2	0	2	1	0	0	0	0.0544
eeeee	5	0	0	0	0	0	0	0.36128
etp	1	0	1	1	0	0	0	0.23091
eep	2	0	1	0	0	0	0	0.28094
eepe	3	0	1	0	0	0	0	0.30871
etee	3	0	0	1	0	0	0	0.22753
eet	2	0	0	1	0	0	0	0.29653
epte	2	0	1	1	0	0	0	0.21749
eetp	2	0	1	1	0	0	0	0.28692
teppe	2	0	2	1	0	0	0	0.07546
eeeee	5	0	0	0	0	0	0	0.05582
eepe	3	0	1	0	0	0	0	0.02227
etee	3	0	0	1	0	0	0	-0.02487
eet	2	0	0	1	0	0	0	0.00522
epte	2	0	1	1	0	0	0	0.01481
eetp	2	0	1	1	0	0	0	-0.01743
teppe	2	0	2	1	0	0	0	0.07753
eeeee	5	0	0	0	0	0	0	0.06101
eepe	3	0	1	0	0	0	0	0.01193
etee	3	0	0	1	0	0	0	-0.09025
eet	2	0	0	1	0	0	0	-0.10629
teppe	2	0	2	1	0	0	0	0.03294
eeeee	5	0	0	0	0	0	0	0.34983
eepe	3	0	1	0	0	0	0	0.29842
etee	3	0	0	1	0	0	0	0.21973
eet	2	0	0	1	0	0	0	0.1976
teppe	2	0	2	1	0	0	0	0.12342
eeeee	5	0	0	0	0	0	0	0.18503
eepe	3	0	1	0	0	0	0	0.15549
etee	3	0	0	1	0	0	0	0.09422
eet	2	0	0	1	0	0	0	0.09458
epte	2	0	1	1	0	0	0	0.11135
eetp	2	0	1	1	0	0	0	0.11493
teppe	2	0	2	1	0	0	0	0.13808
eeeee	5	0	0	0	0	0	0	0.2798
eepe	3	0	1	0	0	0	0	0.25169
etee	3	0	0	1	0	0	0	0.17685
eet	2	0	0	1	0	0	0	0.20148
eetp	2	0	1	1	0	0	0	0.2241
teppe	2	0	2	1	0	0	0	0.14965
eeeee	5	0	0	0	0	0	0	0.10263
etp	1	0	1	1	0	0	0	0.03996
eepe	3	0	1	0	0	0	0	0.09224
etee	3	0	0	1	0	0	0	0.07816
eet	2	0	0	1	0	0	0	0.06144
eetp	2	0	1	1	0	0	0	0.03123
teppe	2	0	2	1	0	0	0	0.09155
eeeee	5	0	0	0	0	0	0	0.27068
eepe	3	0	1	0	0	0	0	0.2345
epte	2	0	1	1	0	0	0	0.1915
etee	3	0	0	1	0	0	0	0.1827
eet	2	0	0	1	0	0	0	0.19447
eetp	2	0	1	1	0	0	0	0.22568
teppe	2	0	2	1	0	0	0	0.17734
tttte	1	0	0	4	0	0	0	0.09811
tttte	1	0	0	4	0	0	0	0.08967
teet	2	0	0	2	0	0	0	0.14308
tte	1	0	0	2	0	0	0	0.1031
eeeee	5	0	0	0	0	0	0	0.2973
etp	1	0	1	1	0	0	0	0.18246
eepe	3	0	1	0	0	0	0	0.27699
epte	2	0	1	1	0	0	0	0.21364
etee	3	0	0	1	0	0	0	0.21874
eet	2	0	0	1	0	0	0	0.22247
eetp	2	0	1	1	0	0	0	0.24532
teppe	2	0	2	1	0	0	0	0.16975
tttte	1	0	0	4	0	0	0	0.09647
tttte	1	0	0	4	0	0	0	0.08625
teet	2	0	0	2	0	0	0	0.15225
tte	1	0	0	2	0	0	0	0.10636
eeeee	5	0	0	0	0	0	0	0.09553
eepe	3	0	1	0	0	0	0	0.09216
etee	3	0	0	1	0	0	0	0.04794
eet	2	0	0	1	0	0	0	0.07119
teppe	2	0	2	1	0	0	0	0.11182
tttte	1	0	0	4	0	0	0	0.0676
tttte	1	0	0	4	0	0	0	0.05867
teet	2	0	0	2	0	0	0	0.10763
tte	1	0	0	2	0	0	0	0.08614
eeeee	5	0	0	0	0	0	0	0.44323
etp	1	0	1	1	0	0	0	0.28594
eepe	3	0	1	0	0	0	0	0.40561
epte	2	0	1	1	0	0	0	0.3226
etee	3	0	0	1	0	0	0	0.34519
eet	2	0	0	1	0	0	0	0.34075
eetp	2	0	1	1	0	0	0	0.371
teppe	2	0	2	1	0	0	0	0.25113
tttte	1	0	0	4	0	0	0	0.11019
tttte	1	0	0	4	0	0	0	0.11231
teet	2	0	0	2	0	0	0	0.16536
tte	1	0	0	2	0	0	0	0.1222
eeeee	5	0	0	0	0	0	0	0.22682
etp	1	0	1	1	0	0	0	0.15848
eepe	3	0	1	0	0	0	0	0.21565
epte	2	0	1	1	0	0	0	0.20594
etee	3	0	0	1	0	0	0	0.15822
eet	2	0	0	1	0	0	0	0.18017
eetp	2	0	1	1	0	0	0	0.19452
teppe	2	0	2	1	0	0	0	0.16168
tttte	1	0	0	4	0	0	0	0.07712
tttte	1	0	0	4	0	0	0	0.11292
teet	2	0	0	2	0	0	0	0.18067
tte	1	0	0	2	0	0	0	0.11316
eeeee	5	0	0	0	0	0	0	0.21424
eepe	3	0	1	0	0	0	0	-0.10798
etee	3	0	0	1	0	0	0	-0.05521
teppe	2	0	2	1	0	0	0	0.05614
tttte	1	0	0	4	0	0	0	0.15856
teet	2	0	0	2	0	0	0	0.29069
tte	1	0	0	2	0	0	0	0.16486
ee	2	0	0	0	0	0	0	0.30673
e	1	0	0	0	0	0	0	0.20588
eeeee	5	0	0	0	0	0	0	0.18665
epte	2	0	1	1	0	0	0	0.27691
etee	3	0	0	1	0	0	0	0.2637
eet	2	0	0	1	0	0	0	0.28442
e	1	0	0	0	0	0	0	0.23589
e	1	0	0	0	0	0	0	0.20109
e	1	0	0	0	0	0	0	0.22872
ee	2	0	0	0	0	0	0	0.30985
p	0	0	1	0	0	0	0	0.17997
p	0	0	1	0	0	0	0	0.18736
p	0	0	1	0	0	0	0	0.18493
p	0	0	1	0	0	0	0	0.17449
pp	0	0	2	0	0	0	0	0.19686
tttte	1	0	0	4	0	0	0	0.13215
tttte	1	0	0	4	0	0	0	0.10866
t	0	0	0	1	0	0	0	0.03259
teet	2	0	0	2	0	0	0	0.21699
tte	1	0	0	2	0	0	0	0.13803
t	0	0	0	1	0	0	0	0.02741
t	0	0	0	1	0	0	0	0.02591
tt	0	0	0	2	0	0	0	0.03445
t	0	0	0	1	0	0	0	0.02165
eetpe	3	0	1	1	0	0	0	0.15717
ptee	2	0	1	1	0	0	0	0.25955
eetpe	3	0	1	1	0	0	0	0.13
eep	2	0	1	0	0	0	0	0.19939
eteee	4	0	0	1	0	0	0	0.30344
ptee	2	0	1	1	0	0	0	0.21598
eetpe	3	0	1	1	0	0	0	0.12391
eep	2	0	1	0	0	0	0	0.18261
eteee	4	0	0	1	0	0	0	0.27765
ptee	2	0	1	1	0	0	0	0.22169
eetpe	3	0	1	1	0	0	0	0.07603
eep	2	0	1	0	0	0	0	0.21437
eteee	4	0	0	1	0	0	0	0.26126
ptee	2	0	1	1	0	0	0	0.20844
eetpe	3	0	1	1	0	0	0	0.19196
eep	2	0	1	0	0	0	0	0.15181
eteee	4	0	0	1	0	0	0	0.23983
ptee	2	0	1	1	0	0	0	0.22615
eetpe	3	0	1	1	0	0	0	0.06232
eep	2	0	1	0	0	0	0	0.23014
eteee	4	0	0	1	0	0	0	0.32375
ptee	2	0	1	1	0	0	0	0.24953
eetpe	3	0	1	1	0	0	0	0.1605
eep	2	0	1	0	0	0	0	0.20235
eteee	4	0	0	1	0	0	0	0.2873
ptee	2	0	1	1	0	0	0	0.22327
eetpe	3	0	1	1	0	0	0	0.11156
eep	2	0	1	0	0	0	0	0.18829
eteee	4	0	0	1	0	0	0	0.24549
ptee	2	0	1	1	0	0	0	0.23967
eetpe	3	0	1	1	0	0	0	0.06971
eteee	4	0	0	1	0	0	0	0.24956
ptee	2	0	1	1	0	0	0	0.20544
eetpe	3	0	1	1	0	0	0	0.10094
ptee	2	0	1	1	0	0	0	0.01196
eetpe	3	0	1	1	0	0	0	0.17148
eeee	4	0	0	0	0	0	0	0.21757
epte	2	0	1	1	0	0	0	0.19365
ptee	2	0	1	1	0	0	0	0.18313
zeee	3	0	0	0	0	0	1	0.14726
eetpe	3	0	1	1	0	0	0	0.07279
eeee	4	0	0	0	0	0	0	0.22547
epte	2	0	1	1	0	0	0	0.20727
ptee	2	0	1	1	0	0	0	0.20683
zeee	3	0	0	0	0	0	1	0.15292
eetpe	3	0	1	1	0	0	0	0.18433
eeee	4	0	0	0	0	0	0	0.29381
epte	2	0	1	1	0	0	0	0.24566
ptee	2	0	1	1	0	0	0	0.23694
zeee	3	0	0	0	0	0	1	0.17407
eetpe	3	0	1	1	0	0	0	0.06348
eeee	4	0	0	0	0	0	0	0.24729
epte	2	0	1	1	0	0	0	0.34157
epte	2	0	1	1	0	0	0	0.21117
ptee	2	0	1	1	0	0	0	0.2245
zeee	3	0	0	0	0	0	1	0.11329
eetpe	3	0	1	1	0	0	0	0.10741
eeee	4	0	0	0	0	0	0	0.2304
epte	2	0	1	1	0	0	0	0.20892
epte	2	0	1	1	0	0	0	0.20957
ptee	2	0	1	1	0	0	0	0.21345
zeee	3	0	0	0	0	0	1	0.10037
eetpe	3	0	1	1	0	0	0	0.00547
eeee	4	0	0	0	0	0	0	0.22179
epte	2	0	1	1	0	0	0	-0.05403
epte	2	0	1	1	0	0	0	0.18638
ptee	2	0	1	1	0	0	0	0.20571
zeee	3	0	0	0	0	0	1	0.27406
eetpe	3	0	1	1	0	0	0	0.16144
eeee	4	0	0	0	0	0	0	0.3316
epte	2	0	1	1	0	0	0	-0.06085
ptee	2	0	1	1	0	0	0	0.03814
zeee	3	0	0	0	0	0	1	0.20993
eetpe	3	0	1	1	0	0	0	0.16113
eeee	4	0	0	0	0	0	0	0.23488
zeee	3	0	0	0	0	0	1	0.16373
eetpe	3	0	1	1	0	0	0	0.10919
eeee	4	0	0	0	0	0	0	0.19229
ptee	2	0	1	1	0	0	0	0.25141
zeee	3	0	0	0	0	0	1	0.11209
