chain_clean	e	o	p	t	v	w	z	DiscrepancyPercent
ttppp	0	0	3	2	0	0	0	0.21012
ptppp	0	0	4	1	0	0	0	0.16815
ttppp	0	0	3	2	0	0	0	0.19243
ptppp	0	0	4	1	0	0	0	0.20805
ptppp	0	0	4	1	0	0	0	0.51514
ppp	0	0	3	0	0	0	0	0.05888
pppp	0	0	4	0	0	0	0	0.05821
ppppp	0	0	5	0	0	0	0	0.06871
pppp	0	0	4	0	0	0	0	0.0623
p	0	0	1	0	0	0	0	0.0259
ppp	0	0	3	0	0	0	0	0.05664
pppp	0	0	4	0	0	0	0	0.09478
pppp	0	0	4	0	0	0	0	0.06367
p	0	0	1	0	0	0	0	0.04304
pppp	0	0	4	0	0	0	0	0.05475
p	0	0	1	0	0	0	0	0.02192
pp	0	0	2	0	0	0	0	0.04896
p	0	0	1	0	0	0	0	0.03306
ppp	0	0	3	0	0	0	0	0.02826
pppp	0	0	4	0	0	0	0	0.07721
ppppp	0	0	5	0	0	0	0	0.0862
pppp	0	0	4	0	0	0	0	0.02869
p	0	0	1	0	0	0	0	0.03416
pppp	0	0	4	0	0	0	0	0.05254
pppp	0	0	4	0	0	0	0	0.03522
p	0	0	1	0	0	0	0	0.03721
pppp	0	0	4	0	0	0	0	0.09602
p	0	0	1	0	0	0	0	0.04046
pp	0	0	2	0	0	0	0	0.05194
ppp	0	0	3	0	0	0	0	0.05561
pppp	0	0	4	0	0	0	0	0.12857
ppppp	0	0	5	0	0	0	0	0.13116
pppp	0	0	4	0	0	0	0	0.0296
ppp	0	0	3	0	0	0	0	0.01234
pppp	0	0	4	0	0	0	0	0.07624
pppp	0	0	4	0	0	0	0	0.00533
pppp	0	0	4	0	0	0	0	0.09772
ppp	0	0	3	0	0	0	0	0.12918
pppp	0	0	4	0	0	0	0	-0.02857
ppppp	0	0	5	0	0	0	0	0.04952
pppp	0	0	4	0	0	0	0	0.08543
ppp	0	0	3	0	0	0	0	0.10955
pppp	0	0	4	0	0	0	0	0.10369
pppp	0	0	4	0	0	0	0	0.11389
pppp	0	0	4	0	0	0	0	0.06186
ppppp	0	0	5	0	0	0	0	0.07175
pppp	0	0	4	0	0	0	0	0.06562
pppp	0	0	4	0	0	0	0	0.06003
pppp	0	0	4	0	0	0	0	0.05676
ppppp	0	0	5	0	0	0	0	0.06022
pppp	0	0	4	0	0	0	0	0.05288
p	0	0	1	0	0	0	0	0.00345
pppp	0	0	4	0	0	0	0	0.0506
