chain	DiscrepancyPercent	e	o	p	t	v	w	z
tootp	0.097713504	0	2	1	2	0	0	0
top	0.165322422	0	1	1	1	0	0	0
tope	0.163739552	1	1	1	1	0	0	0
topo	0.289205453	0	2	1	1	0	0	0
topoo	0.134759678	0	3	1	1	0	0	0
toppp	0.1487283	0	1	3	1	0	0	0
topt	0.134438238	0	1	1	2	0	0	0
topto	0.224460591	0	2	1	2	0	0	0
tot	0.144594604	0	1	0	2	0	0	0
totp	0.166017004	0	1	1	2	0	0	0
totto	0.236183698	0	2	0	3	0	0	0
tp	0.129404852	0	0	1	1	0	0	0
tpe	0.01061669	1	0	1	1	0	0	0
tpee	0.150566857	2	0	1	1	0	0	0
tpeee	0.195092888	3	0	1	1	0	0	0
tpo	0.155544123	0	1	1	1	0	0	0
tpoe	0.151355828	1	1	1	1	0	0	0
tpot	0.140081008	0	1	1	2	0	0	0
tpotp	0.172318352	0	1	2	2	0	0	0
tpp	0.237260979	0	0	2	1	0	0	0
tppo	0.097501889	0	1	2	1	0	0	0
tppoe	0.216155772	1	1	2	1	0	0	0
tppop	0.209060773	0	1	3	1	0	0	0
tppot	0.173769116	0	1	2	2	0	0	0
tppp	0.111153173	0	0	3	1	0	0	0
tpppp	0.097915129	0	0	4	1	0	0	0
tpppt	0.143689794	0	0	3	2	0	0	0
tppt	0.249647007	0	0	2	2	0	0	0
tppte	0.096027478	1	0	2	2	0	0	0
tpptt	0.150460933	0	0	2	3	0	0	0
tpt	0.145426742	0	0	1	2	0	0	0
tpto	0.216268705	0	1	1	2	0	0	0
tptp	0.221458791	0	0	2	2	0	0	0
tptpp	0.396726436	0	0	3	2	0	0	0
tptpt	0.164729772	0	0	2	3	0	0	0
tptt	0.237564098	0	0	1	3	0	0	0
tpttp	0.510303602	0	0	2	3	0	0	0
tpttt	0.185415638	0	0	1	4	0	0	0
tt	0.111832289	0	0	0	2	0	0	0
tte	0.124392671	1	0	0	2	0	0	0
