code	Placement Id	Actual Data Date	Chain	Impressions	Served	Measured Quantity	Actual	Predicted	Discrepancy
0939f772c7a02d28b6ba319d690e57dd42194p9=1.9:p10=1.7	0939f772c7a02d28b6ba319d690e57dd	09/07/15	p9=1.9:p10=1.7	1084	29	Fill	0.027	0.041	0.10
0939f772c7a02d28b6ba319d690e57dd42195p9=1.9:p10=1.7	0939f772c7a02d28b6ba319d690e57dd	10/07/15	p9=1.9:p10=1.7	1001	38	Fill	0.038	0.040	0.10
0939f772c7a02d28b6ba319d690e57dd42196p9=1.9:p10=1.7	0939f772c7a02d28b6ba319d690e57dd	11/07/15	p9=1.9:p10=1.7	1012	39	Fill	0.039	0.039	0.10
0939f772c7a02d28b6ba319d690e57dd42194t4=1.9:t10=1.9	0939f772c7a02d28b6ba319d690e57dd	09/07/15	t4=1.9:t10=1.9	937	19	Fill	0.020	0.051	0.10
0939f772c7a02d28b6ba319d690e57dd42195t4=1.9:t10=1.9	0939f772c7a02d28b6ba319d690e57dd	10/07/15	t4=1.9:t10=1.9	1022	30	Fill	0.029	0.050	0.10
0939f772c7a02d28b6ba319d690e57dd42196t4=1.9:t10=1.9	0939f772c7a02d28b6ba319d690e57dd	11/07/15	t4=1.9:t10=1.9	1038	39	Fill	0.038	0.048	0.10
0939f772c7a02d28b6ba319d690e57dd42194t7=1.9:t5=1.7	0939f772c7a02d28b6ba319d690e57dd	09/07/15	t7=1.9:t5=1.7	976	43	Fill	0.044	0.055	0.10
0939f772c7a02d28b6ba319d690e57dd42195t7=1.9:t5=1.7	0939f772c7a02d28b6ba319d690e57dd	10/07/15	t7=1.9:t5=1.7	849	50	Fill	0.059	0.053	0.10
0939f772c7a02d28b6ba319d690e57dd42196t7=1.9:t5=1.7	0939f772c7a02d28b6ba319d690e57dd	11/07/15	t7=1.9:t5=1.7	942	39	Fill	0.041	0.050	0.10
10a30dc46d67785d001b093d4645795042194p12=0.85:p13=0.6:p14=0.4:p19=0.3	10a30dc46d67785d001b093d46457950	09/07/15	p12=0.85:p13=0.6:p14=0.4:p19=0.3	5344	295	Fill	0.055	0.081	0.26
10a30dc46d67785d001b093d4645795042196p12=0.85:p13=0.60:p14=0.40:p19=0.30	10a30dc46d67785d001b093d46457950	11/07/15	p12=0.85:p13=0.60:p14=0.40:p19=0.30	53735	2848	Fill	0.053	0.071	0.26
10a30dc46d67785d001b093d4645795042194p16=1.25:p17=0.7:p18=0.35:p15=0.3	10a30dc46d67785d001b093d46457950	09/07/15	p16=1.25:p17=0.7:p18=0.35:p15=0.3	1053	66	Fill	0.063	0.073	0.26
10a30dc46d67785d001b093d4645795042195p16=1.25:p17=0.7:p18=0.35:p15=0.3	10a30dc46d67785d001b093d46457950	10/07/15	p16=1.25:p17=0.7:p18=0.35:p15=0.3	9390	427	Fill	0.045	0.069	0.26
10a30dc46d67785d001b093d4645795042196p16=1.25:p17=0.7:p18=0.35:p15=0.3	10a30dc46d67785d001b093d46457950	11/07/15	p16=1.25:p17=0.7:p18=0.35:p15=0.3	16684	812	Fill	0.049	0.066	0.26
10a30dc46d67785d001b093d4645795042194p23=0.65:p25=0.5:p24=0.5:p26=0.45	10a30dc46d67785d001b093d46457950	09/07/15	p23=0.65:p25=0.5:p24=0.5:p26=0.45	47167	2301	Fill	0.049	0.070	0.26
10a30dc46d67785d001b093d4645795042195p23=0.65:p25=0.5:p24=0.5:p26=0.45	10a30dc46d67785d001b093d46457950	10/07/15	p23=0.65:p25=0.5:p24=0.5:p26=0.45	40959	1778	Fill	0.043	0.066	0.26
10a30dc46d67785d001b093d4645795042196p23=0.65:p25=0.5:p24=0.5:p26=0.45	10a30dc46d67785d001b093d46457950	11/07/15	p23=0.65:p25=0.5:p24=0.5:p26=0.45	36459	1690	Fill	0.046	0.062	0.26
10a30dc46d67785d001b093d4645795042196p30=1.05:p27=0.85:p32=0.5:p33=0.45:p1=0.45	10a30dc46d67785d001b093d46457950	11/07/15	p30=1.05:p27=0.85:p32=0.5:p33=0.45:p1=0.45	347464	16184	Fill	0.047	0.059	0.33
10a30dc46d67785d001b093d4645795042194p30=1.05:p27=0.85:p32=0.50:p33=0.45:p1=0.45	10a30dc46d67785d001b093d46457950	09/07/15	p30=1.05:p27=0.85:p32=0.50:p33=0.45:p1=0.45	366147	17828	Fill	0.049	0.066	0.33
10a30dc46d67785d001b093d4645795042194p31=0.85:p28=0.6:p29=0.35	10a30dc46d67785d001b093d46457950	09/07/15	p31=0.85:p28=0.6:p29=0.35	6261	99	Fill	0.016	0.033	0.10
10a30dc46d67785d001b093d4645795042194p7=0.8:p4=0.8	10a30dc46d67785d001b093d46457950	09/07/15	p7=0.8:p4=0.8	1480	30	Fill	0.020	0.023	0.10
10a30dc46d67785d001b093d4645795042194p8=0.8:p5=0.6	10a30dc46d67785d001b093d46457950	09/07/15	p8=0.8:p5=0.6	1477	33	Fill	0.022	0.031	0.10
1263c833351dedd4d190a24124dcfdaf42194o16=0.4:o12=0.4	1263c833351dedd4d190a24124dcfdaf	09/07/15	o16=0.4:o12=0.4	18933	1041	Fill	0.055	0.106	0.09
1263c833351dedd4d190a24124dcfdaf42195o16=0.4:o12=0.4	1263c833351dedd4d190a24124dcfdaf	10/07/15	o16=0.4:o12=0.4	16927	963	Fill	0.057	0.099	0.09
1263c833351dedd4d190a24124dcfdaf42196o16=0.4:o12=0.4	1263c833351dedd4d190a24124dcfdaf	11/07/15	o16=0.4:o12=0.4	15076	858	Fill	0.057	0.092	0.09
1263c833351dedd4d190a24124dcfdaf42194o20=1.15:o23=0.35:o22=0.05:o6=0.05:p9=0.05	1263c833351dedd4d190a24124dcfdaf	09/07/15	o20=1.15:o23=0.35:o22=0.05:o6=0.05:p9=0.05	230359	70562	Fill	0.306	0.411	0.30
1263c833351dedd4d190a24124dcfdaf42195o20=1.15:o23=0.35:o22=0.05:o6=0.05:p9=0.05	1263c833351dedd4d190a24124dcfdaf	10/07/15	o20=1.15:o23=0.35:o22=0.05:o6=0.05:p9=0.05	12476	2968	Fill	0.238	0.400	0.30
1263c833351dedd4d190a24124dcfdaf42194o24=0.15:p19=0.15:p1=0.1:o2=0.05:p14=0.05	1263c833351dedd4d190a24124dcfdaf	09/07/15	o24=0.15:p19=0.15:p1=0.1:o2=0.05:p14=0.05	225223	63908	Fill	0.284	0.418	0.33
1263c833351dedd4d190a24124dcfdaf42195o24=0.15:p19=0.15:p1=0.1:o2=0.05:p14=0.05	1263c833351dedd4d190a24124dcfdaf	10/07/15	o24=0.15:p19=0.15:p1=0.1:o2=0.05:p14=0.05	17690	4556	Fill	0.258	0.406	0.33
1263c833351dedd4d190a24124dcfdaf42194o25=0.01:o26=0.01:p15=0.01:o1=0.01:o9=0.01	1263c833351dedd4d190a24124dcfdaf	09/07/15	o25=0.01:o26=0.01:p15=0.01:o1=0.01:o9=0.01	5588977	3577967	Fill	0.640	0.630	0.18
1263c833351dedd4d190a24124dcfdaf42195o25=0.01:o26=0.01:p15=0.01:o1=0.01:o9=0.01	1263c833351dedd4d190a24124dcfdaf	10/07/15	o25=0.01:o26=0.01:p15=0.01:o1=0.01:o9=0.01	5706017	3351117	Fill	0.587	0.625	0.19
1263c833351dedd4d190a24124dcfdaf42196o25=0.01:o26=0.01:p15=0.01:o1=0.01:o9=0.01	1263c833351dedd4d190a24124dcfdaf	11/07/15	o25=0.01:o26=0.01:p15=0.01:o1=0.01:o9=0.01	3773248	2270601	Fill	0.602	0.621	0.19
1263c833351dedd4d190a24124dcfdaf42194o3=0.1:o19=0.1:p4=0.01	1263c833351dedd4d190a24124dcfdaf	09/07/15	o3=0.1:o19=0.1:p4=0.01	603065	315983	Fill	0.524	0.547	0.18
1263c833351dedd4d190a24124dcfdaf42195o3=0.1:o19=0.1:p4=0.01	1263c833351dedd4d190a24124dcfdaf	10/07/15	o3=0.1:o19=0.1:p4=0.01	540375	303649	Fill	0.562	0.543	0.19
1263c833351dedd4d190a24124dcfdaf42194o4=0.4:o14=0.2	1263c833351dedd4d190a24124dcfdaf	09/07/15	o4=0.4:o14=0.2	17407	1262	Fill	0.072	0.145	0.09
1263c833351dedd4d190a24124dcfdaf42195o4=0.4:o14=0.2	1263c833351dedd4d190a24124dcfdaf	10/07/15	o4=0.4:o14=0.2	15586	1099	Fill	0.071	0.135	0.09
1263c833351dedd4d190a24124dcfdaf42196o4=0.4:o14=0.2	1263c833351dedd4d190a24124dcfdaf	11/07/15	o4=0.4:o14=0.2	15891	1187	Fill	0.075	0.123	0.09
1263c833351dedd4d190a24124dcfdaf42194o7=0.01:o27=0.01:o21=0.01:p2=0.01:o5=0.01	1263c833351dedd4d190a24124dcfdaf	09/07/15	o7=0.01:o27=0.01:o21=0.01:p2=0.01:o5=0.01	10133066	6228669	Fill	0.615	0.646	0.18
1263c833351dedd4d190a24124dcfdaf42195o7=0.01:o27=0.01:o21=0.01:p2=0.01:o5=0.01	1263c833351dedd4d190a24124dcfdaf	10/07/15	o7=0.01:o27=0.01:o21=0.01:p2=0.01:o5=0.01	9534717	5783246	Fill	0.607	0.636	0.19
1263c833351dedd4d190a24124dcfdaf42196o7=0.01:o27=0.01:o21=0.01:p2=0.01:o5=0.01	1263c833351dedd4d190a24124dcfdaf	11/07/15	o7=0.01:o27=0.01:o21=0.01:p2=0.01:o5=0.01	12089629	7166852	Fill	0.593	0.623	0.20
1263c833351dedd4d190a24124dcfdaf42194p10=0.4:p8=0.2	1263c833351dedd4d190a24124dcfdaf	09/07/15	p10=0.4:p8=0.2	18755	866	Fill	0.046	0.114	0.09
1263c833351dedd4d190a24124dcfdaf42195p10=0.4:p8=0.2	1263c833351dedd4d190a24124dcfdaf	10/07/15	p10=0.4:p8=0.2	16755	845	Fill	0.050	0.105	0.09
1263c833351dedd4d190a24124dcfdaf42196p10=0.4:p8=0.2	1263c833351dedd4d190a24124dcfdaf	11/07/15	p10=0.4:p8=0.2	17759	967	Fill	0.054	0.098	0.09
1263c833351dedd4d190a24124dcfdaf42194p11=0.4:p7=0.4	1263c833351dedd4d190a24124dcfdaf	09/07/15	p11=0.4:p7=0.4	18315	761	Fill	0.042	0.095	0.09
1263c833351dedd4d190a24124dcfdaf42195p11=0.4:p7=0.4	1263c833351dedd4d190a24124dcfdaf	10/07/15	p11=0.4:p7=0.4	17714	767	Fill	0.043	0.088	0.09
1263c833351dedd4d190a24124dcfdaf42196p11=0.4:p7=0.4	1263c833351dedd4d190a24124dcfdaf	11/07/15	p11=0.4:p7=0.4	18346	912	Fill	0.050	0.081	0.09
1263c833351dedd4d190a24124dcfdaf42194p18=0.01:p3=0.01:o15=0.01:o8=0.01:o18=0.01	1263c833351dedd4d190a24124dcfdaf	09/07/15	p18=0.01:p3=0.01:o15=0.01:o8=0.01:o18=0.01	687146	390930	Fill	0.569	0.623	0.15
1263c833351dedd4d190a24124dcfdaf42195p18=0.01:p3=0.01:o15=0.01:o8=0.01:o18=0.01	1263c833351dedd4d190a24124dcfdaf	10/07/15	p18=0.01:p3=0.01:o15=0.01:o8=0.01:o18=0.01	681726	411436	Fill	0.604	0.623	0.15
1d0bd2ec4e7928150392dee2a5d49a3842196e10=1.15:e9=0.95	1d0bd2ec4e7928150392dee2a5d49a38	11/07/15	e10=1.15:e9=0.95	790	267	Fill	0.338	0.387	0.07
1d0bd2ec4e7928150392dee2a5d49a3842196e11=1.15:e7=1.15	1d0bd2ec4e7928150392dee2a5d49a38	11/07/15	e11=1.15:e7=1.15	894	280	Fill	0.313	0.359	0.07
1d0bd2ec4e7928150392dee2a5d49a3842194e14=1.05:o15=1.05:o17=1:e18=0.75	1d0bd2ec4e7928150392dee2a5d49a38	09/07/15	e14=1.05:o15=1.05:o17=1:e18=0.75	653	289	Fill	0.443	0.510	0.20
1d0bd2ec4e7928150392dee2a5d49a3842194e16=0.95:o19=0.7:e21=0.6	1d0bd2ec4e7928150392dee2a5d49a38	09/07/15	e16=0.95:o19=0.7:e21=0.6	620	326	Fill	0.526	0.555	0.16
1d0bd2ec4e7928150392dee2a5d49a3842194e2=0.75:e22=0.65:e15=0.65:e37=0.6	1d0bd2ec4e7928150392dee2a5d49a38	09/07/15	e2=0.75:e22=0.65:e15=0.65:e37=0.6	542	237	Fill	0.437	0.574	0.14
1d0bd2ec4e7928150392dee2a5d49a3842194e30=1.6:p26=1.05:o18=0.95:e24=0.75	1d0bd2ec4e7928150392dee2a5d49a38	09/07/15	e30=1.6:p26=1.05:o18=0.95:e24=0.75	674	334	Fill	0.496	0.460	0.26
1d0bd2ec4e7928150392dee2a5d49a3842196e39=1.4:p23=1.05:o31=0.95:e20=0.75	1d0bd2ec4e7928150392dee2a5d49a38	11/07/15	e39=1.4:p23=1.05:o31=0.95:e20=0.75	1640	827	Fill	0.504	0.493	0.25
1d0bd2ec4e7928150392dee2a5d49a3842194e39=1.40:p23=1.05:o31=0.95:e20=0.75	1d0bd2ec4e7928150392dee2a5d49a38	09/07/15	e39=1.40:p23=1.05:o31=0.95:e20=0.75	1330	713	Fill	0.536	0.510	0.24
1d0bd2ec4e7928150392dee2a5d49a3842195e39=1.40:p23=1.05:o31=0.95:e20=0.75	1d0bd2ec4e7928150392dee2a5d49a38	10/07/15	e39=1.40:p23=1.05:o31=0.95:e20=0.75	911	475	Fill	0.521	0.502	0.25
1d0bd2ec4e7928150392dee2a5d49a3842194o20=0.9:e3=0.75:e1=0.75:e33=0.75	1d0bd2ec4e7928150392dee2a5d49a38	09/07/15	o20=0.9:e3=0.75:e1=0.75:e33=0.75	99778	66503	Fill	0.667	0.612	0.15
1d0bd2ec4e7928150392dee2a5d49a3842196o20=0.90:e3=0.75:e1=0.75:e33=0.75	1d0bd2ec4e7928150392dee2a5d49a38	11/07/15	o20=0.90:e3=0.75:e1=0.75:e33=0.75	203210	134908	Fill	0.664	0.618	0.14
1d0bd2ec4e7928150392dee2a5d49a3842194o5=1.15:o6=0.95	1d0bd2ec4e7928150392dee2a5d49a38	09/07/15	o5=1.15:o6=0.95	563	335	Fill	0.595	0.470	0.06
1d0bd2ec4e7928150392dee2a5d49a3842195o5=1.15:o6=0.95	1d0bd2ec4e7928150392dee2a5d49a38	10/07/15	o5=1.15:o6=0.95	742	421	Fill	0.567	0.485	0.06
1d0bd2ec4e7928150392dee2a5d49a3842196o5=1.15:o6=0.95	1d0bd2ec4e7928150392dee2a5d49a38	11/07/15	o5=1.15:o6=0.95	1559	941	Fill	0.604	0.492	0.06
1d0bd2ec4e7928150392dee2a5d49a3842194o8=1.15:o9=1.15	1d0bd2ec4e7928150392dee2a5d49a38	09/07/15	o8=1.15:o9=1.15	537	308	Fill	0.574	0.455	0.06
1d0bd2ec4e7928150392dee2a5d49a3842195o8=1.15:o9=1.15	1d0bd2ec4e7928150392dee2a5d49a38	10/07/15	o8=1.15:o9=1.15	721	406	Fill	0.563	0.469	0.06
1d0bd2ec4e7928150392dee2a5d49a3842196o8=1.15:o9=1.15	1d0bd2ec4e7928150392dee2a5d49a38	11/07/15	o8=1.15:o9=1.15	1448	821	Fill	0.567	0.479	0.06
1d0bd2ec4e7928150392dee2a5d49a3842194p6=1.15:p7=0.95	1d0bd2ec4e7928150392dee2a5d49a38	09/07/15	p6=1.15:p7=0.95	817	73	Fill	0.089	0.118	0.09
1d0bd2ec4e7928150392dee2a5d49a3842195p6=1.15:p7=0.95	1d0bd2ec4e7928150392dee2a5d49a38	10/07/15	p6=1.15:p7=0.95	872	88	Fill	0.101	0.112	0.09
1d0bd2ec4e7928150392dee2a5d49a3842196p6=1.15:p7=0.95	1d0bd2ec4e7928150392dee2a5d49a38	11/07/15	p6=1.15:p7=0.95	1625	155	Fill	0.095	0.105	0.09
1d0bd2ec4e7928150392dee2a5d49a3842194p9=1.15:p10=1.15	1d0bd2ec4e7928150392dee2a5d49a38	09/07/15	p9=1.15:p10=1.15	710	52	Fill	0.073	0.094	0.09
1d0bd2ec4e7928150392dee2a5d49a3842195p9=1.15:p10=1.15	1d0bd2ec4e7928150392dee2a5d49a38	10/07/15	p9=1.15:p10=1.15	977	88	Fill	0.090	0.091	0.09
1d0bd2ec4e7928150392dee2a5d49a3842196p9=1.15:p10=1.15	1d0bd2ec4e7928150392dee2a5d49a38	11/07/15	p9=1.15:p10=1.15	2084	176	Fill	0.084	0.085	0.09
256c6e002275707799cb7378c7ff057242194p10=0.75:p24=0.55:p26=0.45:p16=0.35	256c6e002275707799cb7378c7ff0572	09/07/15	p10=0.75:p24=0.55:p26=0.45:p16=0.35	16441	4846	Fill	0.295	0.415	0.18
256c6e002275707799cb7378c7ff057242195p10=0.75:p24=0.55:p26=0.45:p16=0.35	256c6e002275707799cb7378c7ff0572	10/07/15	p10=0.75:p24=0.55:p26=0.45:p16=0.35	11988	3424	Fill	0.286	0.409	0.18
256c6e002275707799cb7378c7ff057242196p10=0.75:p24=0.55:p26=0.45:p16=0.35	256c6e002275707799cb7378c7ff0572	11/07/15	p10=0.75:p24=0.55:p26=0.45:p16=0.35	7516	2680	Fill	0.357	0.400	0.19
256c6e002275707799cb7378c7ff057242194p20=0.40:p12=0.40:p11=0.40:p13=0.35:p17=0.35	256c6e002275707799cb7378c7ff0572	09/07/15	p20=0.40:p12=0.40:p11=0.40:p13=0.35:p17=0.35	29528	10464	Fill	0.354	0.456	0.21
256c6e002275707799cb7378c7ff057242195p20=0.40:p12=0.40:p11=0.40:p13=0.35:p17=0.35	256c6e002275707799cb7378c7ff0572	10/07/15	p20=0.40:p12=0.40:p11=0.40:p13=0.35:p17=0.35	21925	7582	Fill	0.346	0.448	0.21
256c6e002275707799cb7378c7ff057242196p20=0.40:p12=0.40:p11=0.40:p13=0.35:p17=0.35	256c6e002275707799cb7378c7ff0572	11/07/15	p20=0.40:p12=0.40:p11=0.40:p13=0.35:p17=0.35	12476	5353	Fill	0.429	0.436	0.22
256c6e002275707799cb7378c7ff057242194p30=0.25:p29=0.25:p28=0.25:p31=0.2:p36=0.2	256c6e002275707799cb7378c7ff0572	09/07/15	p30=0.25:p29=0.25:p28=0.25:p31=0.2:p36=0.2	3623	1544	Fill	0.426	0.531	0.18
256c6e002275707799cb7378c7ff057242195p30=0.25:p29=0.25:p28=0.25:p31=0.2:p36=0.2	256c6e002275707799cb7378c7ff0572	10/07/15	p30=0.25:p29=0.25:p28=0.25:p31=0.2:p36=0.2	2460	1122	Fill	0.456	0.523	0.18
256c6e002275707799cb7378c7ff057242196p30=0.25:p29=0.25:p28=0.25:p31=0.2:p36=0.2	256c6e002275707799cb7378c7ff0572	11/07/15	p30=0.25:p29=0.25:p28=0.25:p31=0.2:p36=0.2	1337	658	Fill	0.492	0.513	0.19
256c6e002275707799cb7378c7ff057242194p4=0.7:p5=0.5	256c6e002275707799cb7378c7ff0572	09/07/15	p4=0.7:p5=0.5	717	140	Fill	0.195	0.337	0.08
256c6e002275707799cb7378c7ff057242195p4=0.7:p5=0.5	256c6e002275707799cb7378c7ff0572	10/07/15	p4=0.7:p5=0.5	554	99	Fill	0.179	0.328	0.08
256c6e002275707799cb7378c7ff057242194p41=0.45:p27=0.45:p32=0.2	256c6e002275707799cb7378c7ff0572	09/07/15	p41=0.45:p27=0.45:p32=0.2	824	254	Fill	0.308	0.353	0.15
256c6e002275707799cb7378c7ff057242194p8=0.7:p7=0.7	256c6e002275707799cb7378c7ff0572	09/07/15	p8=0.7:p7=0.7	701	102	Fill	0.146	0.298	0.08
2fc48e7d93bfab5a1c102f6c3723427242194o13=0.85:o3=0.35:t1=0.25:t23=0.25:o19=0.05	2fc48e7d93bfab5a1c102f6c37234272	09/07/15	o13=0.85:o3=0.35:t1=0.25:t23=0.25:o19=0.05	1568	332	Fill	0.212	0.130	0.39
2fc48e7d93bfab5a1c102f6c3723427242195o13=0.85:o3=0.35:t1=0.25:t23=0.25:o19=0.05	2fc48e7d93bfab5a1c102f6c37234272	10/07/15	o13=0.85:o3=0.35:t1=0.25:t23=0.25:o19=0.05	1435	297	Fill	0.207	0.132	0.40
2fc48e7d93bfab5a1c102f6c3723427242196o13=0.85:o3=0.35:t1=0.25:t23=0.25:o19=0.05	2fc48e7d93bfab5a1c102f6c37234272	11/07/15	o13=0.85:o3=0.35:t1=0.25:t23=0.25:o19=0.05	11947	2744	Fill	0.230	0.139	0.39
2fc48e7d93bfab5a1c102f6c3723427242194o25=0.4:o26=0.15:o27=0.05:t13=0.01:t15=0.01	2fc48e7d93bfab5a1c102f6c37234272	09/07/15	o25=0.4:o26=0.15:o27=0.05:t13=0.01:t15=0.01	678	196	Fill	0.289	0.231	0.33
2fc48e7d93bfab5a1c102f6c3723427242195o25=0.4:o26=0.15:o27=0.05:t13=0.01:t15=0.01	2fc48e7d93bfab5a1c102f6c37234272	10/07/15	o25=0.4:o26=0.15:o27=0.05:t13=0.01:t15=0.01	666	180	Fill	0.270	0.229	0.33
2fc48e7d93bfab5a1c102f6c3723427242196o25=0.4:o26=0.15:o27=0.05:t13=0.01:t15=0.01	2fc48e7d93bfab5a1c102f6c37234272	11/07/15	o25=0.4:o26=0.15:o27=0.05:t13=0.01:t15=0.01	563	145	Fill	0.258	0.230	0.33
2fc48e7d93bfab5a1c102f6c3723427242194o5=1.55:o17=0.15:t19=0.10:t18=0.10:t20=0.05	2fc48e7d93bfab5a1c102f6c37234272	09/07/15	o5=1.55:o17=0.15:t19=0.10:t18=0.10:t20=0.05	12337	3139	Fill	0.254	0.234	0.33
2fc48e7d93bfab5a1c102f6c3723427242195o5=1.55:o17=0.15:t19=0.10:t18=0.10:t20=0.05	2fc48e7d93bfab5a1c102f6c37234272	10/07/15	o5=1.55:o17=0.15:t19=0.10:t18=0.10:t20=0.05	2898	756	Fill	0.261	0.229	0.33
