"placementId","ChainLength","sumImps","sumServed","sumHouse","DiscrepancyPercent","predicted"
"30","00db4c5b20394375f490a9097083384e",3,29186,9834,17011,0.0802096895771945,0.0784056574344488
"31","00db4c5b20394375f490a9097083384e",4,756580,288355,406093,0.0821221813952259,0.0907918328327986
"32","00db4c5b20394375f490a9097083384e",5,5985,2349,3220,0.0695071010860484,0.103178008231148
"33","00e4e0887f8ab768288978079195c09e",1,48710,8356,37847,0.0514678710737015,0.125385940782676
"34","00e4e0887f8ab768288978079195c09e",2,23095,4910,15596,0.112102186620481,0.157296586391589
"35","00e4e0887f8ab768288978079195c09e",3,164912,58808,66246,0.24169253905113,0.189207232000503
"36","00e4e0887f8ab768288978079195c09e",4,348694,140188,118167,0.259078160220709,0.221117877609417
"37","00e4e0887f8ab768288978079195c09e",5,185284,69715,60286,0.298368990306772,0.253028523218331
"38","01189762de428419fe46557b585216e8",1,93818,2591,69498,0.231608006992262,0.252084944286941
"39","01189762de428419fe46557b585216e8",2,128539,6531,101753,0.157578633722061,0.320403323368065
"40","01189762de428419fe46557b585216e8",3,468776,31482,401527,0.0762987012987013,0.388721702449188
"41","01189762de428419fe46557b585216e8",4,594352,63731,477904,0.0886965973026086,0.457040081530312
"42","020254f81c6f7454f7cf5cf909116a6c",1,98494,4265,83769,0.10619936239771,0.167596951033651
"43","020254f81c6f7454f7cf5cf909116a6c",2,46858,2631,38020,0.132464040291946,0.211313608630129
"44","020254f81c6f7454f7cf5cf909116a6c",3,213781,27709,153253,0.153516916844808,0.255030266226607
"45","020254f81c6f7454f7cf5cf909116a6c",4,575119,70231,397591,0.186564867444824,0.298746923823085
"46","020254f81c6f7454f7cf5cf909116a6c",5,572722,75188,391653,0.184873289309648,0.342463581419563
"47","024d8beb21e2373efb533a981026cda4",1,148536,8667,129453,0.070124414283406,0.109002096455168
"48","024d8beb21e2373efb533a981026cda4",2,184926,16569,148795,0.105782853682013,0.136243673520092
"49","024d8beb21e2373efb533a981026cda4",3,503559,48263,386987,0.135652426031508,0.163485250585016
"50","024d8beb21e2373efb533a981026cda4",4,2451774,251426,1777384,0.172513453523857,0.19072682764994
